Gene1	Gene2	No	Weight	Significant
FOXO1	AKT3	1	0.875405	Sig-sig
PTEN	RB1	2	0.9227532	Sig-sig
PTEN	CHUK	3	0.9270317	Sig-non
E2F3	NRAS	4	0.9302168	Sig-sig
CHUK	RB1	5	0.9326114	Sig-non
RB1	PIK3R2	6	0.9329959	Sig-sig
CREB1	PIK3R2	7	0.9402032	Sig-sig
CREB1	PIK3CA	8	0.9418613	Sig-non
INS	PIK3R2	9	0.9441649	Sig-non
CHUK	PIK3R2	10	0.9534059	Sig-non
FOXO1	PDGFB	11	0.9601632	Sig-sig
FOXO1	PDGFRA	12	0.9617843	Sig-sig
FOXO1	CCNE1	13	0.9629913	Sig-sig
AKT2	PIK3R2	14	0.9662526	Sig-sig
NRAS	MAPK1	15	0.9683617	Sig-sig
RELA	MAP2K2	16	0.9696484	Sig-non
TCF7	MAPK1	17	0.9701124	Sig-sig
CREB1	INS	18	0.9705718	Sig-non
PTEN	PIK3R2	19	0.9715944	Sig-sig
SRD5A1	E2F3	20	0.9722217	Sig-non
PDGFRB	PDGFB	21	0.9723411	Sig-sig
E2F2	INS	22	0.9726635	Non-non
AR	FOXO1	23	0.9728632	Sig-sig
INSRR	PIK3R2	24	0.9734105	Sig-non
FGFR2	AKT3	25	0.9740728	Sig-sig
E2F3	CCNE1	26	0.9751705	Sig-sig
FOXO1	PDGFRB	27	0.9754855	Sig-sig
HSP90AB1	MAPK1	28	0.9758118	Sig-sig
SRD5A1	PDGFB	29	0.9759781	Sig-non
PDGFB	AKT3	30	0.9760133	Sig-sig
NRAS	HSP90AB1	31	0.9762734	Sig-sig
MAPK1	MAP2K1	32	0.9764348	Sig-non
SRD5A1	CCNE1	33	0.9770447	Sig-non
E2F2	PIK3R2	34	0.9778359	Sig-non
PIK3R2	MAP2K2	35	0.9780964	Sig-sig
SRD5A1	NFKBIA	36	0.9785587	Sig-non
PDGFRA	AKT3	37	0.9788609	Sig-sig
CDKN1B	PIK3R2	38	0.9793018	Sig-sig
CCNE1	AKT3	39	0.9793184	Sig-sig
TCF7L2	PIK3R2	40	0.9796047	Sig-sig
INS	RB1	41	0.9796611	Sig-non
SRD5A1	NRAS	42	0.9796961	Sig-non
E2F3	HSP90B1	43	0.9799214	Sig-sig
E2F2	AKT2	44	0.9805408	Sig-non
CREB1	RB1	45	0.9812311	Sig-sig
FGFR1	AKT3	46	0.9813262	Sig-sig
E2F2	CHUK	47	0.9820444	Non-non
CCNE1	CCNE2	48	0.9820916	Sig-sig
NFKBIA	CDKN1A	49	0.982123	Sig-sig
NFKBIA	FOXO1	50	0.9823713	Sig-sig
SOS2	PIK3R2	51	0.9823847	Sig-sig
CHUK	INS	52	0.9825318	Non-non
PDGFRB	AKT3	53	0.9825411	Sig-sig
SRD5A1	FOXO1	54	0.9830251	Sig-non
INSRR	CHUK	55	0.9832108	Non-non
RB1	AKT2	56	0.9834902	Sig-sig
CDKN1B	CREB1	57	0.9838216	Sig-sig
PDGFRA	PDGFRB	58	0.9840391	Sig-sig
E2F2	RB1	59	0.9842603	Sig-non
INS	AKT2	60	0.9843763	Sig-non
E2F3	PDGFB	61	0.9845521	Sig-sig
TCF7L2	CREBBP	62	0.9849665	Sig-non
NRAS	HSP90B1	63	0.9851308	Sig-sig
INSRR	RB1	64	0.9855956	Sig-non
CDKN1B	SOS2	65	0.9856912	Sig-sig
CCND1	CCNE1	66	0.9857962	Sig-sig
E2F1	CCNE1	67	0.9858232	Sig-sig
INSRR	PIK3R5	68	0.9859803	Non-non
FOXO1	FGFR1	69	0.9861121	Sig-sig
E2F2	INSRR	70	0.9863491	Non-non
E2F3	MAPK3	71	0.9871935	Sig-sig
TCF7L1	FGFR1	72	0.9871937	Sig-sig
CREBBP	SOS2	73	0.987488	Sig-non
PIK3CA	PIK3R2	74	0.9876061	Sig-non
SRD5A1	AKT3	75	0.9877498	Sig-non
FOXO1	PDGFA	76	0.9878558	Sig-sig
E2F1	CCNE2	77	0.9878937	Sig-sig
SRD5A2	MAP2K1	78	0.9878978	Non-non
SOS2	AKT2	79	0.9879376	Sig-sig
INS	PIK3R5	80	0.9879556	Non-non
HSP90AA1	HSP90B1	81	0.9880041	Sig-sig
LEF1	E2F3	82	0.9881368	Sig-sig
AR	CCNE1	83	0.9882478	Sig-sig
CHUK	SOS1	84	0.9883654	Sig-non
AR	AKT3	85	0.9885529	Sig-sig
E2F1	PDGFRA	86	0.9885774	Sig-sig
E2F3	HSP90AB1	87	0.9888006	Sig-sig
CHUK	CREB1	88	0.9890358	Sig-non
EP300	CREB1	89	0.9890639	Sig-non
TCF7L2	AKT2	90	0.9892625	Sig-sig
NFKBIA	PDGFB	91	0.9893127	Sig-sig
CCNE1	PDGFB	92	0.9893654	Sig-sig
PDGFA	AKT3	93	0.9893706	Sig-sig
RB1	PIK3CA	94	0.9893875	Sig-non
E2F3	MAPK1	95	0.9894534	Sig-sig
PDGFRA	CCNE1	96	0.9896869	Sig-sig
CREBBP	CREB1	97	0.9897241	Sig-non
FGFR1	PDGFRA	98	0.9897523	Sig-sig
FGFR1	PDGFRB	99	0.9898622	Sig-sig
FOXO1	E2F1	100	0.9899172	Sig-sig
PTEN	CREBBP	101	0.9900372	Sig-non
CDKN1B	RB1	102	0.9900815	Sig-sig
NFKBIA	AKT3	103	0.9900872	Sig-sig
KLK3	E2F2	104	0.9901495	Sig-non
NRAS	CCNE1	105	0.9904611	Sig-sig
TCF7L2	CREB1	106	0.9908222	Sig-sig
SRD5A1	PDGFRB	107	0.9908913	Sig-non
AR	NRAS	108	0.991066	Sig-sig
INS	MAPK1	109	0.9912087	Sig-non
TCF7L2	PIK3CA	110	0.9912629	Sig-non
IKBKG	ARAF	111	0.9915281	Non-non
EGF	AKT3	112	0.9917146	Sig-sig
TCF7L1	PDGFB	113	0.9917527	Sig-sig
CREB1	SOS2	114	0.9918193	Sig-sig
PTEN	MAPK1	115	0.9919522	Sig-sig
EP300	MAPK1	116	0.9923919	Sig-non
PDGFRB	CCNE1	117	0.9924109	Sig-sig
E2F2	CREB1	118	0.9924547	Sig-non
NFKBIA	CCNE1	119	0.9927853	Sig-sig
