Net_100	Net_100	Net_100
ACOT11	NAT6	1
ACOT11	PNPLA3	1
ACOT11	ARD1A	0.999999999999955
ACOT11	ECHS1	1
ACOT11	EHHADH	1
ACOT11	HADHA	1
ACOT11	ALDH2	0.999999999999967
ACOT11	ALDH3A1	1
ACOT11	ALDH1B1	1
ACOT11	ALDH1A3	1
ACOT11	ALDH9A1	1
ACOT11	ALDH3A2	1
ACOT11	ALDH7A1	1
ACOT11	CYP2C19	1
ACOT11	CYP2C9	1
NAT6	PNPLA3	0.999999999982082
NAT6	ARD1A	1
NAT6	ECHS1	0.999999999999996
NAT6	EHHADH	1
NAT6	HADHA	1
NAT6	ALDH2	1
NAT6	ALDH3A1	1
NAT6	ALDH1B1	1
NAT6	ALDH1A3	1
NAT6	ALDH9A1	0.999999999999998
NAT6	ALDH3A2	1
NAT6	ALDH7A1	1
NAT6	CYP2C19	1
NAT6	CYP2C9	1
PNPLA3	ARD1A	1
PNPLA3	ECHS1	0.999999999999772
PNPLA3	EHHADH	1
PNPLA3	HADHA	0.999999999999999
PNPLA3	ALDH2	1
PNPLA3	ALDH3A1	1
PNPLA3	ALDH1B1	1
PNPLA3	ALDH1A3	1
PNPLA3	ALDH9A1	1
PNPLA3	ALDH3A2	1
PNPLA3	ALDH7A1	1
PNPLA3	CYP2C19	0.999999999952945
PNPLA3	CYP2C9	0.999999999999998
ARD1A	ECHS1	0.99999999999159
ARD1A	EHHADH	1
ARD1A	HADHA	1
ARD1A	ALDH2	0.999999999999998
ARD1A	ALDH3A1	1
ARD1A	ALDH1B1	1
ARD1A	ALDH1A3	1
ARD1A	ALDH9A1	1
ARD1A	ALDH3A2	1
ARD1A	ALDH7A1	0.999999999999971
ARD1A	CYP2C19	0.999999999999999
ARD1A	CYP2C9	0.999999999999909
ECHS1	EHHADH	1
ECHS1	HADHA	1
ECHS1	ALDH2	1
ECHS1	ALDH3A1	1
ECHS1	ALDH1B1	1
ECHS1	ALDH1A3	1
ECHS1	ALDH9A1	1
ECHS1	ALDH3A2	1
ECHS1	ALDH7A1	0.999999999998902
ECHS1	CYP2C19	0.999999999914129
ECHS1	CYP2C9	0.999999999976418
EHHADH	HADHA	1
EHHADH	ALDH2	1
EHHADH	ALDH3A1	1
EHHADH	ALDH1B1	1
EHHADH	ALDH1A3	1
EHHADH	ALDH9A1	1
EHHADH	ALDH3A2	1
EHHADH	ALDH7A1	1
EHHADH	CYP2C19	1
EHHADH	CYP2C9	1
HADHA	ALDH2	1
HADHA	ALDH3A1	1
HADHA	ALDH1B1	1
HADHA	ALDH1A3	1
HADHA	ALDH9A1	1
HADHA	ALDH3A2	1
HADHA	ALDH7A1	1
HADHA	CYP2C19	1
HADHA	CYP2C9	1
ALDH2	ALDH3A1	1
ALDH2	ALDH1B1	0.999999999454519
ALDH2	ALDH1A3	0.99999999999847
ALDH2	ALDH9A1	0.999999999941701
ALDH2	ALDH3A2	0.999999970599305
ALDH2	ALDH7A1	1
ALDH2	CYP2C19	1
ALDH2	CYP2C9	1
ALDH3A1	ALDH1B1	1
ALDH3A1	ALDH1A3	1
ALDH3A1	ALDH9A1	1
ALDH3A1	ALDH3A2	1
ALDH3A1	ALDH7A1	1
ALDH3A1	CYP2C19	1
ALDH3A1	CYP2C9	1
ALDH1B1	ALDH1A3	1
ALDH1B1	ALDH9A1	0.999999999999653
ALDH1B1	ALDH3A2	0.999999982234539
ALDH1B1	ALDH7A1	1
ALDH1B1	CYP2C19	1
ALDH1B1	CYP2C9	1
ALDH1A3	ALDH9A1	1
ALDH1A3	ALDH3A2	1
ALDH1A3	ALDH7A1	1
ALDH1A3	CYP2C19	1
ALDH1A3	CYP2C9	1
ALDH9A1	ALDH3A2	0.999999999978247
ALDH9A1	ALDH7A1	1
ALDH9A1	CYP2C19	1
ALDH9A1	CYP2C9	1
ALDH3A2	ALDH7A1	1
ALDH3A2	CYP2C19	1
ALDH3A2	CYP2C9	1
ALDH7A1	CYP2C19	1
ALDH7A1	CYP2C9	1
CYP2C19	CYP2C9	0.999999560933827
