geneSetNo,geneSetName,genePairCount,SigSigCount,SigSigMean,SigSigMedian,SigSigStdDev,SigNonCount,SigNonMean,SigNonMedian,SigNonStdDev,NonNonCount,NonNonMean,NonNonMedian,NonNonStdDev,profileShape,diseaseAssoc
7,galactose metabolism,,,,,,,,,,,,,,mirrS,
11,fatty acid metabolism,,,,,,,,,,,,,,mirrS,
23,glutamate metabolism,,,,,,,,,,,,,,mirrS,
74,pyruvate metabolism,,,,,,,,,,,,,,mirrS,
112,glycan structures - degradation,,,,,,,,,,,,,,mirrS,
115,ABC transporters - General,,,,,,,,,,,,,,mirrS,
135,p53 signaling pathway,,,,,,,,,,,,,,mirrS,
137,SNARE interaction in vescicular transport,,,,,,,,,,,,,,mirrS,
142,notch signaling pathway,,,,,,,,,,,,,,mirrS,
174,type II diabetes mellitus,,,,,,,,,,,,,,mirrS,
183,vibrio cholera infection,,,,,,,,,,,,,,mirrS,
228,IL-2 signaling,,,,,,,,,,,,,,mirrS,
254,translation factors,,,,,,,,,,,,,,mirrS,
283,adipogenesis,,,,,,,,,,,,,,mirrS,
376,EPO receptor signaling,,,,,,,,,,,,,,mirrS,
