Annotation Cluster 1	Enrichment Score: 31.928157781228585
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0090383~phagosome acidification	23	40.35087719298245	2.1779864131984556E-52	TCIRG1, ATP6V0E1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	27	16792	250.9525666016894	7.688292038590549E-50	7.688292038590549E-50	2.9825656325060215E-49
GOTERM_BP_DIRECT	GO:0033572~transferrin transport	24	42.10526315789473	4.503036682902919E-51	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	35	16792	202.009022556391	1.5895719490647302E-48	7.947859745323651E-49	6.166522605904053E-48
UP_KEYWORDS	Hydrogen ion transport	24	42.10526315789473	2.861772673474471E-48	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	49	20581	176.85069817400642	3.3196563012303864E-46	3.3196563012303864E-46	3.2649473389065966E-45
GOTERM_BP_DIRECT	GO:0015991~ATP hydrolysis coupled proton transport	20	35.08771929824561	9.309670550469667E-41	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1B2, ATP6V1B1, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	32	16792	184.12280701754386	3.286313704315793E-38	1.0954379014385975E-38	1.2748795523020635E-37
KEGG_PATHWAY	hsa05120:Epithelial cell signaling in Helicobacter pylori infection	27	47.368421052631575	1.4115135344107167E-40	ATP6V0E1, ATP6AP1, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, TCIRG1, ATP6V1H, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1C2, ATP6V1A, TJP1, ATP6V0E2, PLCG1, ATP6V1E1, PLCG2, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0A2	54	67	6910	51.56716417910448	1.6373556999164314E-38	8.186778499582157E-39	1.6103715716908167E-37
GOTERM_MF_DIRECT	GO:0046961~proton-transporting ATPase activity, rotational mechanism	19	33.33333333333333	1.6983863560475092E-40	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1B2, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	26	16881	216.4230769230769	1.7833056738498848E-38	1.7833056738498848E-38	1.9024036928600364E-37
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	24	42.10526315789473	1.710333145324916E-40	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	78	16792	90.64507422402158	6.037476002996954E-38	1.5093690007492385E-38	2.3421545829988642E-37
KEGG_PATHWAY	hsa04966:Collecting duct acid secretion	21	36.84210526315789	7.054336292130251E-39	TCIRG1, ATP6V0E1, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	54	27	6910	99.52674897119341	8.18303009887109E-37	2.727676699623697E-37	8.048171232545787E-36
KEGG_PATHWAY	hsa04145:Phagosome	30	52.63157894736842	3.2139898079242405E-35	ATP6V0E1, ATP6AP1, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V0B, ACTG1, ATP6V0C, ATP6V0D1, ATP6V0D2, SEC61A1, SEC61A2, ACTB, TCIRG1, ATP6V1H, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1C2, ATP6V1A, ATP6V0E2, SEC61B, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0A2, SEC61G	54	153	6910	25.090777051561368	3.728228177192119E-33	9.320570442980298E-34	3.6667858240169125E-32
GOTERM_BP_DIRECT	GO:0016241~regulation of macroautophagy	19	33.33333333333333	1.1816094778813848E-34	ATP6V0E1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	44	16792	127.21212121212122	4.1710814569212885E-32	8.342162913842575E-33	1.6181128580122498E-31
KEGG_PATHWAY	hsa04721:Synaptic vesicle cycle	23	40.35087719298245	8.00584376383823E-33	TCIRG1, ATP6V0E1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	54	63	6910	46.71663727219283	9.286778766052346E-31	1.8573557532104693E-31	9.133729780398916E-30
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	24	42.10526315789473	5.380875061184786E-31	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	54	88	6910	34.898989898989896	6.241815070974352E-29	1.0403025118290586E-29	6.138948028556907E-28
GOTERM_BP_DIRECT	GO:0034220~ion transmembrane transport	24	42.10526315789473	1.089111608991506E-29	TCIRG1, ATP6V0E1, ATP6AP1, ATP6V1H, ATP6V1G2, ATP6V1G1, ATP6V1B2, ATP6V1B1, ATP6V1D, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP6V0A1, ATP6V1G3, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	210	16792	33.66817042606516	3.844563979740016E-27	6.4076066329000265E-28	1.4914449581763373E-26
GOTERM_MF_DIRECT	GO:0015078~hydrogen ion transmembrane transporter activity	15	26.31578947368421	1.5027285828791161E-27	TCIRG1, ATP6V0E1, ATP6V1B2, ATP6V1B1, ATP6V0B, ATP6V1F, ATP6V1C1, ATP6V0C, ATP6V1C2, ATP6V0E2, ATP6V0A1, ATP6V0A4, ATP6V0D1, ATP6V0D2, ATP6V0A2	57	32	16881	138.8240131578947	1.577865012023072E-25	7.88932506011536E-26	1.683242682241372E-24
