Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GAD_DISEASE	Abnormalities, Multiple|Heart Defects, Congenital|LEOPARD Syndrome|Noonan Syndrome|Skin Abnormalities	6	16.216216216216218	6.358242202132148E-13	KRAS, MAP2K1, MAP2K2, SOS1, RAF1, PTPN11	36	6	12971	360.30555555555554	2.8930025042228635E-10	2.8930025042228635E-10	9.034661907492136E-10
GAD_DISEASE	plasma HDL cholesterol (HDL-C) levels	13	35.13513513513514	1.0848557946494447E-12	HRAS, MAP2K1, GRB2, STAT5A, SOS1, MAPK3, STAT5B, RAF1, PIK3CA, SHC1, PIK3R1, PIK3R2, PTPN11	36	249	12971	18.811133422579207	4.936340225469849E-10	2.4681701127349243E-10	1.5415890786130149E-9
GAD_DISEASE	Glioma|Noonan Syndrome|Turner's phenotype, karyotype normal	6	16.216216216216218	2.2211253804212925E-12	KRAS, MAP2K1, MAP2K2, SOS1, RAF1, PTPN11	36	7	12971	308.8333333333333	1.0106060432946151E-9	3.368686440907709E-10	3.1560642987926713E-9
GAD_DISEASE_CLASS	CANCER	29	78.37837837837837	8.695509745767962E-12	HRAS, GRB2, STAT5A, STAT5B, FOS, KRAS, SOS1, PIK3C3, PIK3CA, SHC1, PIK3R3, PIK3R1, PIK3CG, IL2RB, MAP2K1, MAP2K2, PIK3CB, PIK3C2A, PIK3C2B, PIK3CD, RAF1, PTPN11, NRAS, MAPK1, JUN, RRAS2, JAK1, JAK3, IL2	36	3197	12971	3.2683331595593095	1.5651879792244472E-10	1.5651879792244472E-10	6.409650588068416E-9
GAD_DISEASE	HIV	10	27.027027027027028	2.9019639875305283E-9	PIK3CG, MAPK1, NRAS, KRAS, PIK3CB, PIK3CD, PIK3CA, PIK3R5, PIK3R1, IL2	36	208	12971	17.32238247863248	1.3203927513583125E-6	3.300983513199185E-7	4.123506625042239E-6
GAD_DISEASE	BMI- Edema rosiglitazone or pioglitazone	8	21.62162162162162	1.1855325176638112E-8	PIK3CG, PIK3C2G, PIK3CB, PIK3C2B, PIK3CD, PIK3C3, PIK3CA, PIK3R1	36	107	12971	26.938733125649012	5.3941584340355675E-6	1.0788340145673203E-6	1.6845663475262285E-5
GAD_DISEASE	Noonan Syndrome	4	10.81081081081081	7.186153163234279E-8	KRAS, SOS1, RAF1, PTPN11	36	4	12971	360.30555555555554	3.269646351822253E-5	5.449484828057294E-6	1.0211062808629379E-4
GAD_DISEASE	Precursor Cell Lymphoblastic Leukemia-Lymphoma	7	18.91891891891892	5.053351324754836E-7	NRAS, KRAS, STAT5A, STAT5B, JAK1, IL2, PTPN11	36	113	12971	22.319813176007866	2.2990111207854547E-4	3.284625246291473E-5	7.180467613943087E-4
GAD_DISEASE	Carcinoma|Carcinoma, Papillary|Necrosis|Neoplasm Recurrence, Local|thyroid neoplasm|Thyroid Neoplasms	4	10.81081081081081	6.253041762917701E-7	NRAS, HRAS, KRAS, PIK3CA	36	7	12971	205.88888888888889	2.844730190579847E-4	3.556355374967346E-5	8.8851388719835E-4
GAD_DISEASE	Carcinoma, Papillary, Follicular|Neoplasm Metastasis|Thyroid Neoplasms	4	10.81081081081081	6.253041762917701E-7	NRAS, HRAS, KRAS, PIK3CA	36	7	12971	205.88888888888889	2.844730190579847E-4	3.556355374967346E-5	8.8851388719835E-4
GAD_DISEASE	Hypercholesterolemia|LDLC levels	8	21.62162162162162	6.844136665591585E-7	PIK3CG, PIK3C2G, PIK3CB, PIK3C2B, PIK3CD, PIK3C3, PIK3CA, PIK3R1	36	193	12971	14.934945308002302	3.11359842292358E-4	3.46003263762551E-5	9.725039955110759E-4
GAD_DISEASE	myeloid leukemia	5	13.513513513513514	7.458923286578734E-7	NRAS, KRAS, STAT5A, STAT5B, JAK1	36	27	12971	66.72325102880659	3.3932355285670734E-4	3.393753772074071E-5	0.0010598604481604212
