Annotation Cluster 1	Enrichment Score: 3.505134466549603
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GAD_DISEASE	BMI- Edema rosiglitazone or pioglitazone	11	26.82926829268293	6.554444374183157E-13	PIK3CG, TNF, PIK3CB, INS, PIK3CD, PKLR, PIK3CA, ABCC8, IRS1, INSR, PIK3R1	41	107	12971	32.52359243218601	8.671943163562901E-10	2.8906477211876336E-10	1.072553157399625E-9
GAD_DISEASE	plasma HDL cholesterol (HDL-C) levels	13	31.70731707317073	6.671327136357723E-12	IRS4, IRS2, TNF, SLC2A4, SOCS3, INS, MAPK3, PIK3CA, IRS1, ADIPOQ, INSR, PIK3R1, PIK3R2	41	249	12971	16.51709276128906	8.826169795028704E-9	2.206542393246025E-9	1.0916256787396605E-8
GAD_DISEASE	Diabetes mellitus|Diabetes mellitus type II|Diabetes Mellitus, Type 2	7	17.073170731707318	9.45462329142033E-9	TNF, PKLR, PDX1, ABCC8, IRS1, ADIPOQ, KCNJ11	41	51	12971	43.42276422764228	1.2508388463117193E-5	2.084742275809681E-6	1.54705481869577E-5
GAD_DISEASE	Diabetes, Gestational	6	14.634146341463413	1.0930973811961927E-8	INS, PDX1, ABCC8, IRS1, ADIPOQ, KCNJ11	41	25	12971	75.92780487804878	1.4461573837332153E-5	2.0659519240906477E-6	1.7886292180691044E-5
GAD_DISEASE	kidney failure, chronic	9	21.951219512195124	5.437603981510351E-8	TNF, INS, PDX1, ABCC8, IRS1, ADIPOQ, INSR, KCNJ11, PIK3R1	41	177	12971	16.086399338569656	7.193691500351207E-5	7.99324611910901E-6	8.897518454231701E-5
GAD_DISEASE	diabetes, type 1	9	21.951219512195124	9.418723854979464E-8	TNF, SOCS3, INS, SOCS1, PDX1, IRS1, ADIPOQ, INSR, KCNJ11	41	190	12971	14.985750962772787	1.2460195901953242E-4	1.2460894611265871E-5	1.541179608488541E-4
GAD_DISEASE	Insulin Resistance	8	19.51219512195122	5.722339015449217E-7	TNF, INS, ABCC8, CACNA1D, IRS1, ADIPOQ, INSR, KCNJ11	41	163	12971	15.527158461768666	7.567791665135104E-4	6.308681564493046E-5	9.363391425654122E-4
GAD_DISEASE	Insulin Resistance|Obesity	5	12.195121951219512	6.580561787875457E-7	TNF, PIK3CB, INS, ADIPOQ, PIK3R1	41	23	12971	68.77518557794274	8.702297412485072E-4	6.696765071811939E-5	0.0010767683464196764
GAD_DISEASE	POLYCYSTIC OVARIAN SYNDROME|Polycystic Ovary Syndrome	6	14.634146341463413	9.540896323399973E-7	IRS2, TNF, INS, IRS1, ADIPOQ, INSR	41	59	12971	32.17279867713931	0.0012614648691248176	9.015744883622556E-5	0.0015611602971477012
GAD_DISEASE	Diabetes mellitus type II|Diabetes Mellitus, Type 2|Glucose Metabolism Disorders	5	12.195121951219512	1.2926806146153503E-6	TNF, ABCC8, IRS1, ADIPOQ, KCNJ11	41	27	12971	58.58626919602529	0.0017087559698618637	1.14008004498789E-4	0.002115185340467729
GAD_DISEASE	polycystic ovary syndrome	6	14.634146341463413	1.552997095219685E-6	TNF, INS, IRS1, ADIPOQ, INSR, PIK3R1	41	65	12971	29.203001876172607	0.0020525074722653747	1.2840530236024605E-4	0.002541130488042942
GAD_DISEASE	Insulin	8	19.51219512195122	1.662049102515696E-6	IRS2, TNF, PIK3CB, ABCC8, IRS1, ADIPOQ, INSR, KCNJ11	41	191	12971	13.250925807687397	0.002196476996296659	1.2933826979255603E-4	0.0027195672948399086
GAD_DISEASE	diabetes, type 2; liver disease	5	12.195121951219512	6.539884425678325E-6	IRS4, IRS2, TNF, IRS1, INSR	41	40	12971	39.545731707317074	0.00861497200185124	4.805675674927068E-4	0.0107006401773857
GAD_DISEASE	polycystic ovarian syndrome	4	9.75609756097561	1.2048713148923862E-5	IRS2, IRS1, ADIPOQ, INSR	41	15	12971	84.36422764227642	0.015814165466553565	8.386241332064559E-4	0.01971342000574028
GAD_DISEASE	Obesity	9	21.951219512195124	1.377904344703156E-5	IRS2, TNF, SLC2A4, SOCS3, INS, IRS1, ADIPOQ, INSR, KCNJ11	41	369	12971	7.716240333135039	0.018064642389855168	9.11074722935501E-4	0.02254418850448081
