Annotation Cluster 1	Enrichment Score: 21.454823333889387											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	64	50.79365079	2.62E-44	"E2F1, MEF2C, PPARA, MEF2B, MEF2A, E2F4, HNF1A, STAT5B, PPARG, FOXO1, RORA, TGFB1, CTNNB1, GATA2, WNT1, GATA3, GATA4, SERPINE1, RARA, NR2F1, TWIST1, EGR2, RXRA, RBL1, RB1, LPIN2, PPARGC1A, LPIN1, HMGA1, DDIT3, AHR, MIXL1, LPIN3, NRIP1, OSM, NCOA1, NCOA2, HIF1A, FOXC2, TNF, NDN, NR3C1, LIF, STAT6, NR1H3, BMP4, KLF5, SREBF1, CEBPA, BMP2, IL6, CEBPB, EPAS1, CEBPD, CREB1, SMAD3, IGF1, KLF15, STAT1, WWTR1, STAT3, MEF2D, SP1, EBF1"	126	981	16792	8.69446467	5.11E-41	5.11E-41	4.49E-41
UP_KEYWORDS	Activator	47	37.3015873	1.49E-36	"E2F1, MEF2C, MEF2B, PPARA, PPARD, MEF2A, E2F4, HNF1A, STAT5A, STAT5B, PPARG, FOXO1, RORA, CTNNB1, STAT6, GATA2, GATA3, GATA4, NR1H3, NR2F1, TWIST1, SREBF1, CEBPA, KLF5, KLF6, KLF7, EGR2, CEBPB, EPAS1, CEBPD, CREB1, KLF15, STAT1, WWTR1, PPARGC1A, STAT3, AHR, DDIT3, STAT2, NRIP1, MEF2D, NCOA1, HIF1A, NCOA2, SP1, EBF1, FOXC2"	126	661	20581	11.61428091	2.81E-34	2.81E-34	1.85E-33
UP_KEYWORDS	Transcription regulation	65	51.58730159	3.12E-28	"E2F1, MEF2C, MEF2B, PPARA, GTF3A, PPARD, MEF2A, E2F4, HNF1A, STAT5A, STAT5B, PPARG, FOXO1, RORA, CTNNB1, GATA2, GATA3, GATA4, RARA, NR2F1, TWIST1, EGR2, RBL2, RXRA, RBL1, RXRG, RB1, LPIN2, PPARGC1A, LPIN1, HMGA1, DDIT3, AHR, MIXL1, NRIP1, NCOA1, NCOA2, HIF1A, FOXC2, NDN, TRIB3, NR3C1, STAT6, NR1H3, KLF5, SREBF1, CEBPA, KLF6, KLF7, CEBPB, EPAS1, CEBPD, CREB1, SMAD3, KLF15, WWTR1, STAT1, STAT3, STAT2, MEF2D, SP1, EBF1, ID3, NCOR1, NCOR2"	126	2332	20581	4.552822701	5.90E-26	2.95E-26	3.87E-25
UP_KEYWORDS	Transcription	65	51.58730159	1.53E-27	"E2F1, MEF2C, MEF2B, PPARA, GTF3A, PPARD, MEF2A, E2F4, HNF1A, STAT5A, STAT5B, PPARG, FOXO1, RORA, CTNNB1, GATA2, GATA3, GATA4, RARA, NR2F1, TWIST1, EGR2, RBL2, RXRA, RBL1, RXRG, RB1, LPIN2, PPARGC1A, LPIN1, HMGA1, DDIT3, AHR, MIXL1, NRIP1, NCOA1, NCOA2, HIF1A, FOXC2, NDN, TRIB3, NR3C1, STAT6, NR1H3, KLF5, SREBF1, CEBPA, KLF6, KLF7, CEBPB, EPAS1, CEBPD, CREB1, SMAD3, KLF15, WWTR1, STAT1, STAT3, STAT2, MEF2D, SP1, EBF1, ID3, NCOR1, NCOR2"	126	2398	20581	4.427515655	2.89E-25	9.63E-26	1.90E-24
GOTERM_MF_DIRECT	"GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	28	22.22222222	9.93E-25	"MEF2C, PPARA, MEF2B, MEF2A, HNF1A, E2F4, NDN, STAT5B, NR3C1, GATA2, GATA3, NR1H3, CEBPA, SREBF1, KLF5, EGR2, CEBPB, EPAS1, CEBPD, CREB1, KLF15, MIXL1, DDIT3, STAT3, MEF2D, HIF1A, EBF1, FOXC2"	126	236	16881	15.89548023	2.92E-22	2.92E-22	1.32E-21
GOTERM_MF_DIRECT	"GO:0003700~transcription factor activity, sequence-specific DNA binding"	45	35.71428571	8.64E-24	"E2F1, MEF2C, MEF2B, PPARA, PPARD, MEF2A, E2F4, HNF1A, STAT5A, STAT5B, PPARG, NR3C1, RORA, CTNNB1, STAT6, GATA2, GATA3, GATA4, RARA, NR1H3, NR2F1, SREBF1, CEBPA, KLF5, KLF7, EGR2, CEBPB, EPAS1, CEBPD, CREB1, RXRA, RXRG, SMAD3, RB1, STAT1, HMGA1, STAT3, AHR, DDIT3, STAT2, MEF2D, HIF1A, SP1, FOXC2, ID3"	126	961	16881	6.27359893	2.54E-21	8.47E-22	1.15E-20
UP_KEYWORDS	DNA-binding	54	42.85714286	1.97E-21	"E2F1, MEF2C, GTF3A, MEF2B, PPARA, PPARD, MEF2A, E2F4, HNF1A, STAT5A, PPARG, STAT5B, FOXO1, RORA, GATA2, GATA3, GATA4, RARA, TWIST1, NR2F1, EGR2, RBL2, RXRA, RXRG, RB1, HMGA1, DDIT3, MIXL1, AHR, HIF1A, FOXC2, NDN, NR3C1, STAT6, NR1H3, KLF5, SREBF1, CEBPA, KLF6, KLF7, CEBPB, EPAS1, CEBPD, CREB1, SMAD3, KLF15, STAT1, STAT3, STAT2, MEF2D, SP1, EBF1, NCOR1, NCOR2"	126	2050	20581	4.302648084	3.72E-19	9.31E-20	2.45E-18
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	28	22.22222222	7.56E-16	"MEF2C, MEF2B, MEF2A, HNF1A, E2F4, NDN, STAT5B, NR3C1, GATA2, GATA3, GATA4, CEBPA, KLF5, EGR2, CEBPB, EPAS1, CEBPD, CREB1, KLF15, HMGA1, AHR, MIXL1, DVL1, MEF2D, HIF1A, EBF1, FOXC2, NCOR1"	126	513	16792	7.273987438	1.52E-12	3.04E-13	1.33E-12
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	57	45.23809524	3.20E-15	"E2F1, MEF2C, GTF3A, PPARA, PPARD, MEF2A, E2F4, HNF1A, STAT5A, PPARG, STAT5B, FOXO1, RORA, CTNNB1, GATA2, GATA3, GATA4, RARA, NR2F1, RBL2, RXRA, RBL1, RXRG, RB1, MBNL1, PPARGC1A, LPIN1, HMGA1, DDIT3, AHR, NRIP1, NCOA1, NCOA2, HIF1A, GADD45A, TRIB3, NR3C1, MIF, STAT6, NR1H3, KLF5, SREBF1, CEBPB, EPAS1, CREB1, LMNA, SMAD3, WWTR1, STAT1, STAT3, STAT2, MEF2D, CDKN1A, SP1, ID3, NCOR1, NCOR2"	126	2784	18224	2.961275315	5.63E-13	2.82E-13	3.95E-12
UP_KEYWORDS	Nucleus	72	57.14285714	9.27E-14	"MEF2C, E2F1, PPARA, MEF2B, GTF3A, PPARD, MEF2A, E2F4, HNF1A, STAT5A, STAT5B, PPARG, FOXO1, RORA, CTNNB1, GATA2, GATA3, GATA4, RARA, NR2F1, TWIST1, EGR2, RBL2, RXRA, RBL1, SOCS1, RXRG, RB1, MBNL1, LPIN2, PPARGC1A, LPIN1, HMGA1, DDIT3, AHR, MIXL1, LPIN3, NRIP1, NCOA1, NCOA2, HIF1A, FOXC2, GADD45A, NDN, TRIB3, NR3C1, STAT6, ZMPSTE24, NR1H3, KLF5, SREBF1, CEBPA, KLF6, KLF7, CEBPB, EPAS1, CEBPD, CREB1, LMNA, SMAD3, KLF15, STAT1, WWTR1, STAT3, STAT2, MEF2D, CDKN1A, SP1, EBF1, ID3, NCOR1, NCOR2"	126	5244	20581	2.242671897	1.75E-11	2.92E-12	1.15E-10
