"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_228"	"Net_228"	"1"	"0.58684649444846"	"Non-non"
"IL2"	"IL2RB"	"2"	"0.587438331360049"	"Non-non"
"IL2"	"IL2RG"	"3"	"0.59783382752772"	"Non-non"
"IL2"	"JAK3"	"4"	"0.600988023821993"	"Non-non"
"IL2"	"STAT5A"	"5"	"0.604277216033068"	"Sig-non"
"IL2"	"STAT5B"	"6"	"0.605714186155267"	"Sig-non"
"IL2"	"JAK1"	"7"	"0.607833311099542"	"Sig-non"
"IL2"	"SHC1"	"8"	"0.612858345360326"	"Sig-non"
"IL2"	"GRB2"	"9"	"0.613224688762316"	"Non-non"
"IL2"	"SOS1"	"10"	"0.619170558278883"	"Sig-non"
"IL2"	"SOS2"	"11"	"0.619389921100804"	"Sig-non"
"IL2"	"HRAS"	"12"	"0.623465394671627"	"Non-non"
"IL2"	"KRAS"	"13"	"0.625727343950969"	"Sig-non"
"IL2"	"MRAS"	"14"	"0.628340923844736"	"Non-non"
"IL2"	"NRAS"	"15"	"0.629553573946509"	"Sig-non"
"IL2"	"RRAS"	"16"	"0.630602360511338"	"Sig-non"
"IL2"	"RRAS2"	"17"	"0.63104524942872"	"Sig-non"
"IL2"	"RAF1"	"18"	"0.632744142871643"	"Non-non"
"IL2"	"MAP2K1"	"19"	"0.635767284371661"	"Non-non"
"IL2"	"MAP2K2"	"20"	"0.63707676321256"	"Sig-non"
"IL2"	"MAPK1"	"21"	"0.637313494037428"	"Sig-non"
"IL2"	"MAPK3"	"22"	"0.637674034309304"	"Sig-non"
"IL2"	"FOS"	"23"	"0.641661966590134"	"Sig-non"
"IL2"	"JUN"	"24"	"0.643013093443842"	"Sig-non"
"IL2"	"PTPN11"	"25"	"0.643685761539118"	"Non-non"
"IL2"	"PIK3C2A"	"26"	"0.644520346263045"	"Sig-non"
"IL2"	"PIK3C2B"	"27"	"0.645032282760702"	"Sig-non"
"IL2"	"PIK3C2G"	"28"	"0.645232594766925"	"Non-non"
"IL2"	"PIK3C3"	"29"	"0.647471247447938"	"Non-non"
"IL2"	"PIK3CA"	"30"	"0.651265227753404"	"Non-non"
"IL2"	"PIK3CB"	"31"	"0.652049529376828"	"Non-non"
"IL2"	"PIK3CD"	"32"	"0.655601869685994"	"Sig-non"
"IL2"	"PIK3CG"	"33"	"0.656813209714455"	"Sig-non"
"IL2"	"PIK3R1"	"34"	"0.658626539557467"	"Sig-non"
"IL2"	"PIK3R2"	"35"	"0.659233521773844"	"Sig-non"
